"id","MMSI","BaseDateTime","LAT","LON","SOG","COG","Heading","VesselName","IMO","CallSign","VesselType","Status","Length","Width","Draft","Cargo","TransceiverClass"
402927,367640910,"2023-05-29 01:08:15",29.69103,-91.09843,102.3,360,511,"MASON G","IMO9773076","WDH6713",60,0,48,9,2.5,40,"A"
405677,367640910,"2023-05-29 01:13:54",29.69096,-91.09843,102.3,360,511,"MASON G","IMO9773076","WDH6713",60,0,48,9,2.5,40,"A"
414923,367640910,"2023-05-29 01:15:04",29.69097,-91.09843,102.3,360,511,"MASON G","IMO9773076","WDH6713",60,0,48,9,2.5,40,"A"
425976,367640910,"2023-05-29 01:19:45",29.69098,-91.09842,102.3,360,511,"MASON G","IMO9773076","WDH6713",60,0,48,9,2.5,40,"A"
435103,367640910,"2023-05-29 00:29:55",29.69102,-91.09848,102.3,360,511,"MASON G","IMO9773076","WDH6713",60,0,48,9,2.5,40,"A"
438174,367640910,"2023-05-29 01:17:25",29.69098,-91.09846,102.3,360,511,"MASON G","IMO9773076","WDH6713",60,0,48,9,2.5,40,"A"
439971,367640910,"2023-05-29 01:18:35",29.69097,-91.09842,102.3,360,511,"MASON G","IMO9773076","WDH6713",60,0,48,9,2.5,40,"A"
444832,367640910,"2023-05-29 01:23:16",29.69099,-91.09843,102.3,360,511,"MASON G","IMO9773076","WDH6713",60,0,48,9,2.5,40,"A"
451132,367640910,"2023-05-29 01:24:24",29.69091,-91.09843,102.3,360,511,"MASON G","IMO9773076","WDH6713",60,0,48,9,2.5,40,"A"
451207,367640910,"2023-05-29 01:20:55",29.69099,-91.09844,102.3,360,511,"MASON G","IMO9773076","WDH6713",60,0,48,9,2.5,40,"A"
460101,367640910,"2023-05-29 01:22:04",29.69096,-91.0984,102.3,360,511,"MASON G","IMO9773076","WDH6713",60,0,48,9,2.5,40,"A"
460166,367640910,"2023-05-29 01:26:44",29.69096,-91.09843,102.3,360,511,"MASON G","IMO9773076","WDH6713",60,0,48,9,2.5,40,"A"
464517,367640910,"2023-05-29 01:10:34",29.69099,-91.09844,102.3,360,511,"MASON G","IMO9773076","WDH6713",60,0,48,9,2.5,40,"A"
476122,367640910,"2023-05-29 01:29:04",29.69096,-91.09843,102.3,360,511,"MASON G","IMO9773076","WDH6713",60,0,48,9,2.5,40,"A"
481139,367640910,"2023-05-29 01:25:35",29.69093,-91.09843,102.3,360,511,"MASON G","IMO9773076","WDH6713",60,0,48,9,2.5,40,"A"
486609,367640910,"2023-05-29 01:31:25",29.69096,-91.09844,102.3,360,511,"MASON G","IMO9773076","WDH6713",60,0,48,9,2.5,40,"A"
493517,367640910,"2023-05-29 01:32:35",29.69093,-91.09844,102.3,360,511,"MASON G","IMO9773076","WDH6713",60,0,48,9,2.5,40,"A"
505073,367640910,"2023-05-29 00:32:15",29.69096,-91.09843,102.3,360,511,"MASON G","IMO9773076","WDH6713",60,0,48,9,2.5,40,"A"
514077,367640910,"2023-05-29 00:33:24",29.69096,-91.09843,102.3,360,511,"MASON G","IMO9773076","WDH6713",60,0,48,9,2.5,40,"A"
514325,367640910,"2023-05-29 01:36:05",29.691,-91.09844,102.3,360,511,"MASON G","IMO9773076","WDH6713",60,0,48,9,2.5,40,"A"
514443,367640910,"2023-05-29 01:33:44",29.69096,-91.09846,102.3,360,511,"MASON G","IMO9773076","WDH6713",60,0,48,9,2.5,40,"A"
514509,367640910,"2023-05-29 01:30:14",29.69097,-91.09842,102.3,360,511,"MASON G","IMO9773076","WDH6713",60,0,48,9,2.5,40,"A"
514891,367640910,"2023-05-29 00:34:35",29.691,-91.09843,102.3,360,511,"MASON G","IMO9773076","WDH6713",60,0,48,9,2.5,40,"A"
528386,367640910,"2023-05-29 01:37:15",29.69098,-91.09843,102.3,360,511,"MASON G","IMO9773076","WDH6713",60,0,48,9,2.5,40,"A"
528532,367640910,"2023-05-29 00:35:44",29.69098,-91.09842,102.3,360,511,"MASON G","IMO9773076","WDH6713",60,0,48,9,2.5,40,"A"
